prodejce,salesman,'seɪlzmən,n
prosím,please,pli:z,adv
přátelský,friendly,'frendli,adj
"příjemný, milý",lovely,'lʌvlɪ,adj
příjmení,surname,'sɜ:neɪm,n
"příšerný, hrozný, strašný",horrible,'hɒrəbl,adj
"přítel (dívky), milý, milenec",boyfriend,'bɔɪfrend,n
rodiče,parents (pl),'peərənts,n
rodina,family,'fæməlɪ,n
rok,year,jɪə(r),n
"rozumět, porozumět",understand,",ʌndə'stænd",v
rychle,fast,fɑ:st,adv
Řím,Rome,rəʊm,n
sestra,sister,'sɪstə(r),n
"setkat se, potkat se",meet,mi:t,v
"slunečný, slunný, prosluněný",sunny,'sʌnɪ,adj
"snadný, jednoduchý",easy,'i:zɪ,adj
starý,old,əʊld,adj
stejný,same,seɪm,pron
"strýc, stýček",uncle,'ʌŋkl,n
student,student,'stju:dnt,n
syn,son,sʌn,n
synovec,nephew,'nevju:,n
škola,school,sku:l,n
Španělsko,Spain,speɪn,n
"špatný, zlý",bad,bæd,adj
Švýcarsko,Switzerland,'swɪtsələnd,n
telefonní číslo,phone number,fəʊn 'nʌmbə(r),n
teta,aunt,ɑ:nt,n
třída,class,klɑ:s,n
"učitel, učitelka",teacher,'ti:ʧə(r),n
univerzita,university,",ju:nɪ'vɜ:sətɪ",n
"v pořádku, dobře",all right,ɔ:l raɪt,adv
"věk, stáří",age,eɪdʒ,n
velký,big,bɪg,adj
velmi dobře,very well,veri 'wel,adj
víkend,weekend,",wi:k'end",n
vítejte,welcome,'welkəm,
"vynikající, skvělý, úžasný, velký",great,greɪt,adj
"z, od",from,frɒm,prep
zajímavý,interesting,'ɪntrəstɪŋ,adj
západ (světová strana),west,west,n
zdarma,free,fri:,adj
"známý, slavný, proslulý",famous,'feɪməs,adj
"ženatý, vdaná za někoho",married to sb,'mærid,adj
"žít, bydlet (trvale)",live,lɪv,v
architekt,architect,'ɑ:kɪtekt,n
"baletka, baletní tanečník",ballet dancer,'bæleɪ dɑ:nsə(r),n
bankéř,banker,'bæŋkə(r),n
Belgie,Belgium,'beldʒəm,n
bengálský,Bengali,beŋ'gɔ:li,adj
"budova, stavba",building,'bɪldɪŋ,n
cestovat,travel,'trævl,v
"čas, doba (kdy)",time,taɪm,n
"čtení, četba",reading,'ri:dɪŋ,n
"diskžokej, DJ",disc jockey,'dɪsk dʒɒki,n
"dívat se na (něco), sledovat",watch (~ st),wɒʧ,v
Francie,France,fra:ns,n
fyzika,physics,'fɪzɪks,n
herečka,actress,'æktrəs,n
"historie, dějiny",history,'hɪstri,n
hlavní (město),capital,'kapɪtl,n
hodina (60 minut),hour,'aʊə(r),n
hodiny (nástěnné),clock,klɒk,n
hotel,hotel,həʊ'tel,n
hrát,play,pleɪ,v
"chodit,jít pěšky",walk,wo:k,v
"chudý, nemajetný",poor,pɔ:(r),adj
Indie,India,'ɪndɪə,n
Internet,Internet,'ɪntənət,n
"inženýr, technik",engineer,endʒə'nɪə(r),n
"jít, chodit, jet",go,gəʊ,v
kadeřník,hairdresser,'heədresə(r),n
kulečník,snooker,'snu:kə(r),n
letiště,airport,'eəpɔ:t,n
matematika,Maths,mæθs,n
město,town,taʊn,n
"mít, vlastnit",have,hæv,v
mnoho (u počitatelných podst.jmen),many,'meni,pron
"modelka, model, vzor",model,mɒdl,n
"navrhovat, vytvářet (dům, web stránky ap.)",design,dɪ'zaɪn,v
navštívit,visit,'vɪzɪt,v
"někdy, občas",sometimes,'sʌmtaɪmz,adv
nikdy (před významovým slovesem),never,'nevə(r),adv
"novinář, žurnalista",journalist,'dʒɜ:nəlɪst,n
"novinový článek, reportáž",news story,nju:z 'stɔ:ri,n
"noviny (tiskovina), denní tisk",newspaper,'nju:zpeɪpə(r),n
Nový Zéland,New Zealand,",nju: 'zi:lənd",n
oběd,lunch,lʌnʧ,n
peníze,money,'mʌni,n
pilot,pilot,'paɪlət,n
"plat (stálý), mzda",salary,'sælərɪ,n
popová hvězda,pop star,pɒp stɑ:(r),n
poušť,desert,'dezət,n
"práce v domácnosti, domácí práce",housework,'haʊswɜ:k,n
pracovat,work,wɜ:k,v
právnická firma,law firm,lɔ: fɜ:m,n
"právník, advokát",lawyer,'lɔ:jə(r),n
"procházka, procházet se",walk,wɔ:k,n
"přesně, konkrétně",exactly,ɪg'zæktli,adv
"přijít, přicházet, dostavit se",come,kʌm,v
přirozený,natural,'næʧrəl,adj
"psát, napsat",write,raɪt,v
"recepční, vrátný",receptionist,rɪ'sepʃənɪst,n
ropná plošina,oil rig,'ɔɪl rɪg,n
Skotsko,Scotland,'skɒtlənd,n
slavný,famous,'feɪməs,adj
"spěchat, chvátat",hurry,'hʌri,v
"stát (kolik něco stojí), mít cenu",cost,kost,v
stříhat,cut,kʌt,v
studovat,study,'stʌdɪ,v
"svět, země",world,wɜ:ld,n
španělský,Spanish,'spæniʃ,adj
"španělština, Španělé",Spanish,'spæniʃ,n
šťastný (mít štěstí),lucky,'lʌkɪ,adj
taxikář,taxi driver (AmE cab driver),"'tæksi ,draɪvə(r)  (kæbdraɪvər)",n
televizor,TV,",ti: 'vi:",n
tělocvična,gym (gymnasium),dʒɪm,n
"tlumočník, tlumočnice",interpreter,ɪn'tɜ:prɪtə(r),n
učit se,learn,lɜ:n,v
ulice,street (in the street),stri:t,n
"unavený, vyčerpaný, utahaný",tired,'taɪəd,adj
"venku, venkovní prostředí",outdoors,",aʊt'dɔ:z",
vesnice,village,'vɪlɪdʒ,n
vlasy (pomnožné),hair,heə(r),n
volný čas,free time,fri: taɪm,n
vydělat peníze,earn,ɜ:n,v
"vzrušující, napínavý",exciting,ɪk'saɪtɪŋ,adj
zaměstnání,job,dʒɒb,n
zaneprázdněný,busy,bɪzi,adj
zdravotní sestra,nurse,nɜ:s,n
"země, stát",country,'kʌntri,n
zoolog,zoologist,zu'ɒlədʒɪst,n
zubař,dentist,'dentɪst,n
zuby,teeth,ti:θ,n
zvíře,animal,'ænɪməl,n
badminton,badminton,'bædmɪntən,n
"běh, běhání (sport)",running,",rʌnɪŋ",n
"bilingvní, hovořící dvěma jazyky",bilingual,",baɪ'lɪŋgwəl",adj
"bosý, naboso",barefoot,'beəfʊt,adj
"byt, garsoniéra, podnájem",apartment,ə'pɑ:tmənt,n
"cizí, zahraniční",foreign,'fɒrən,adj
cvičení,exercise,'eksəsaɪz,n
"časně, brzy",early,'ɜ:lɪ,adv
často,often,'ɒfn,adv
čtvrtek,Thursday,'θɜ:zdeɪ,n
"dokončit, dodělat, skončit",finish,'fɪnɪʃ,v
"dopravní situace, doprava",traffic,'træfɪk,n
"dovolená, prázdniny",holiday,'hɒlədeɪ,n
"fotbal, kopaná",football (AmE soccer),'fʊtbɔ:l ('sɑ:kər),n
golf,golf,gɑlf,n
"hospoda (hovorově, brit.)",pub,pʌb,n
hudba,music,'mju:zɪk,n
indický,Indian,'ɪndɪən,adj
japonský,Japanese,",dʒæpə'ni:z",adj
jídlo na objednávku s donáškou nebo možno vzít sebou,takeaway,'teɪkəweɪ,n
jízda na kole,cycling,'saɪklɪŋ,n
"kapela, hudební skupina",band,bænd,n
"karta, lístek",card,kɑ:d,n
kino,cinema,'sɪnəmə,n
kniha,book,bʊk,n
knihkupectví,bookstore,'bʊ:kstɔ:r,n
kuře,chicken,'ʧɪkɪn,n
květina,flower,'flaʊə(r),n
lázně,spa,spɑ:,n
"lepivý, lepkavý",sticky,'stɪki,adj
lyžování,skiing,'ski:ɪŋ,n
"malý, maličký",little,'lɪtl,adj
masáž,massage,'mæsɑ:ʒ,n
mléčný karamel,toffee,'tɒfi,n
mobilní telefon,mobile phone,'məʊbaɪl foʊn,n
"moučník, zákusek",pudding,'pʊdɪŋ,n
neděle,Sunday,'sʌndei,n
"obchod s módním zbožím, butik",boutique,bu:'ti:k,n
obvykle,usually,'ju:ʒəlɪ,adv
"osobní, vlastní, soukromý",personal,'pɜ:sənl,adj
pečeně,roast,rəʊst,n
pečený,roast,rəʊst,adj
plachtění,sailing,'seɪlɪŋ,n
plavání,swimming,'swɪmɪŋ,n
počítač,computer,kəm'pju:tə(r),n
"pohlednice, korespondenční lístek",postcard,'pəustkɑ:d,n
poker,poker,'pəʊkə(r),n
poslouchat (~ koho/co),listen (~ to sb/st),'lɪsn,v
"postavit se (ze židle, z postele)",get up,get 'ʌp,v
postel,bed,bed,n
poštovní směrovací číslo,post code,'pəʊst kəʊd,n
problém,problem,'prɒbləm,n
"program, plán, pořad",programme,'prəugræm,n
"promiňte, pardon (oslovení neznámé osoby)",excuse me,ɪk'skju:s mi,intr
"Prosím?, Co jste říkal?",pardon?,'pɑ:dn,
restaurace,restaurant,'restrɒnt,n
sobota,Saturday,'sætədei,n
squash,squash,skwɒʃ,n
středa,Wednesday,'wenzdeɪ,n
šťastný,happy,'hæpi,adj
tancování,dancing,'dɑ:nsɪŋ,n
tenis,tennis,'tenɪs,n
teplo,warm,wɔ:m,n
teplý,warm,wɔ:m,adj
tráva,grass,grɑ:s,n
Turecko,Turkey,'tɜ:ki,n
týden,week,wi:k,n
úterý,Tuesday,'tju:zdeɪ,n
"uvnitř, v interiéru",indoor,'ɪndɔ:(r),adj
"užívat si, radovat se, těšit se z něčeho",enjoy,ɪn'dʒɔɪ,v
"vana, koupel",bath,bɑ:θ,n
vařit,cook,kʊk,v
večer,evening,'i:vnɪŋ,n
venkov,countryside,'kʌntrɪsaɪd,n
venkovní,outdoor,'aʊtdɔ:(r),adj
vstát / vstávat (po spánku),get up,get 'ʌp,v
vždy; stále,always,'ɔ:lweɪz,adv
windsurfing,windsurfing,'wɪndsɜ:fɪŋ,n
zahradní centrum (prodejna),garden centre,'gɑ:dn sentə(r),n
"zpěvák, zpěvačka",singer,'sɪŋə(r),n
"žádost, přihláška (tiskopis), formulář pro žádost",application form,",æplɪ'keɪʃn fɔ:m",n
adresář (seznam adres),address book,ə'dres bʊk,n
autobusová zastávka,bus stop,'bʌs stɒp,n
autobusové jízdné,bus fare,bʌs feə(r),n
báječný,wonderful,'wʌndəfl,adj
balkón,balcony,'bælkəni,n
barva,colour,'kʌlə,n
běžecká stezka,jogging track,'dʒɒgɪŋ træk,n
bowlingová herna,bowling alley,",bəʊliŋ æli",n
byt,flat,flæt,n
"dámská peněženka, kabelka",purse,pɜ:s,n
"dar, dárek",gift,gɪft,n
"džbánek, velká sklenice, větší hrnek",mug,mʌg,n
"fantastický, úžasný, skvělý",fantastic,fæn'tæstɪk,adj
host,guest,gest,n
"hrnek, šálek",cup,cʌp,n
chodník,pavement,'peɪvmənt,n
jídelna (místnost),dining room,'daɪnɪŋ ru:m,n
jíst,eat,i:t,v
katedrála,cathedral,kə'θi:drəl,n
"kino, promítací sál (AmE)",movie theater,'mu:vi: 'θɪətə(r),n
klíč,key,ki:,n
"knihovna (veřejná, místnost ap.)",library,'laɪbrərɪ,n
koberec,carpet,'kɑ:pɪt,n
"konvice (na vaření vody, i rychlovarná)",kettle,'ketl,n
"koupaliště, bazén",swimming pool,'swɪmɪŋ pu:l,n
koupelna,bathroom,'bɑ:θru:m,n
"krb, ohniště",fireplace,'faɪəpleɪs,n
křeslo,armchair,'ɑ:mʧeə(r),n
"křídlo, část budovy",wing,wɪŋ,n
kuchyně,kitchen,'kɪʧɪn,n
"lampa, svítilna",lamp,læmp,n
"lavička, sedátko, sedačka",bench,benʧ,n
lednička (hovorově),fridge,frɪdʒ,n
ložnice,bedroom,'bedru:m,n
na,on,ɒn,prep
nábytek (bez členu),furniture (~ is),'fɜ:nɪʧər,n
"nad (čím), výš než (co)",above,ə'bʌv,prep
"najmout, pronajmout",rent,rent,v
"naproti, proti, protilehlý",opposite,'ɒpəzɪt,prep
narozeniny,birthday,'bɜ:θdei,n
"návštěvník, host",visitor,'vɪzɪtə(r),n
obchod s lékárnou a drogedií,chemist's,'kemɪsts,n
"obrázek, obraz",picture,'pɪkʧə(r),n
obývací pokoj,living room,'lɪvɪŋ ru:m,n
"ohromující, úžasný",amazing,ə'meɪzɪŋ,adj
okno,window,'wɪndəʊ,n
"ovoce, plod",fruit,fru:t,n
"pánská peněženka, náprsní taška",wallet,'wɒlɪt,n
"pero, propiska",pen,pen,n
pěstovat,grow,grəʊ,v
"plánovací diář, deník, kapesní kalendář",diary,'daɪəri,n
pod,under,'ʌndə(r),prep
"pohodlný, příjemný",comfortable,'kʌmfətəbl,adj
"pohovka, gauč",sofa (AmE couch),'səʊfə / kaʊʧ,n
"police, regály na knihy",bookshelfs,"'bʊk,ʃelfz",n
"poštovní úřad, pošta",post office,"'pəʊst ,ɒfɪs",n
"pracovní stůl, lavice",desk,desk,n
"pračka, automatická pračka",washing machine,'wɒʃɪŋ məʃi:n,n
prezident,president,'prezɪdənt,n
první patro,first floor,",fɜ:st 'flɔ:(r)",n
přehrávač DVD,DVD player,",di: vi: 'di: 'pleɪə(r)",n
"příšerný, strašný, odporný (o něčem, co se nám nelíbí)",awful,'ɔ:fl,adj
"relaxovat, odpočinout si",relax,rɪ'læks,v
rtěnka,lipstick,'lɪpstɪk,n
ručník,towel,'taʊəl,n
"sklenice, sklo",glass,glɑ:s,n
spát,sleep,sli:p,v
"sporák, vařič",cooker,'kʊkə(r),n
sprcha,shower,'ʃaʊə(r),n
"strašný, hrozný",terrible,'terəbl,adj
strom,tree,tri:,n
stůl (jídelní ap.),table,'teɪbl,n
svatba,wedding,'wedɪŋ,n
světově proslulý,world-famous,",wɜ:ld 'feɪməs",adj
"šaty, oděvy, oblečení",clothes,kləʊðz,n
"šéf, vedoucí",boss,bɒs,n
"talíř, miska, tác",plate,pleɪt,n
telefon,phone,fəʊn,n
tenisový kurt,tennis court,'tenɪs kɔ:t,n
trouba,oven,'ʌvn,n
třetí patro,third floor,θɜ:d flɔ:(r),n
"úžasný, fantastický, skvostný",fabulous,'fæbjələs,adj
"v, ve",in,ɪn,prep
večeře,dinner,'dɪnə(r),n
"večírek, party",party,'pɑ:tɪ,n
vedle něčeho,next to sth,'nekst tu:,prep
"venku, ven",outside,",aʊt'saɪd",n
veřejnost,public,'pʌblɪk,n
víno (alkoholický nápoj),wine,wain,n
vládní budova,government building,'gʌvənmənt 'bɪldɪŋ,n
"vybrat, zvolit",choose,ʧu:z,v
"vynikající, výborný",excellent,'eksələnt,adj
výtah (AmE),elevator,'elɪveɪtə(r),n
zahradník,gardener,'gɑ:dnə(r),n
závěsy,curtains,'kɜ:tnz,n
"zeď, stěna",wall,wɔ:l,n
zelenina,vegetables,vedʒtəblz,n pl
zrcadlo,mirror,'mɪrə(r),n
"benzín, palivo",petrol,'petrəl,n
bohatý,rich,rɪʧ,adj
brýle (dioptrické),glasses (pl),'glɑ:sɪz,n pl
"cello, violoncello",cello,'ʧeloʊ,n
cizí jazyky,foreign language,",fɒrən 'læŋgwɪdʒ",n
country a western,country and western,'kʌntri ənd 'westən,n
čínský,Chinese,",ʧaɪ'ni:z",adj
dítě,child,ʧaɪld,n
důležitý,important,ɪm'pɔ:tnt,adj
džíny,jeans (pl),dʒi:nz,n
housle,violin,",vaɪə'lɪn",n
houslista,violinist,",vaɪə'linist",n
hrdina,hero,'hɪərəʊ,n
hudební nástroj,musical instrument,",mju:zɪkl 'ɪnstrəmənt",n
chemické čištění,dry-cleaning,",draɪ 'kli:nɪŋ",n
"inzerát (jednotlivý), reklama",advertisement,əd'vɜ:tɪsmənt,n
"jet, jezdit (na něčem obkročmo - kůň,kolo)",ride,raɪd,v
jezdit na skateboardu,skateboard,'skeɪtbɔ:d,v
"jídelní lístek, menu",menu,'menju:,n
"jízdenka, lístek, vstupenka",ticket,'tɪkɪt,n
jízdní kolo (hovorově),bike,baɪk,n
"klasická, vážná hudba",classical music,'klæsɪkl 'mju:zɪk,n
koncert (hudební),concert,'kɒnsət,n
"kravata, vázanka",tie,taɪ,n
kreditní karta,credit card,'kredɪt kɑ:d,n
kytara,guitar,gɪ'tɑ:(r),n
laskavost (přátelská služba),favour,'feɪvə(r),n
"letět, létat",fly,flaɪ,v
"malba, obraz, malířství",painting,'peɪntɪŋ,n
"malíř, malířka",painter,'peɪntə(r),n
metr,metre,'mi:tə(r),n
mexický,Mexican,'meksɪkən,n
Mexičan,Mexican,'meksɪkən,n
"mluvit, hovořit, povídat si",talk,tɔ:k,v
moci si něco dovolit si (finančně),afford,ə'fɔ:d,v
"motorka, motocykl",motorbike,'məʊtəbaɪk,n
někoho někam odvést,drive,draɪv,v
někoho svézt,lift,lɪft,v
"nezávislý, samostatný",independent,",indɪ'pendənt",adj
"nosit, mít na sobě",wear (sth),weə(r),v
obchod (prodejna),shop,ʃɒp,n
"obchod, podnikání",business,'bɪznəs,n
oblek; kostým (dámský),suit,su:t,n
"odeslat, poslat",send,send,v
"okamžik, chvíle, chvilka",moment,'məʊmənt,n
otevřít,open,'əʊpən,v
otočit se zpět,turn back,tɜ:n 'bæk,v
"pianista, klavírista",pianist,'pɪənɪst,n
plakat,cry,kraɪ,v
"platit, zaplatit",pay,peɪ,v
poslat poštou,post,pəʊst,v
"profesionálně, odborně",professionally,prə'feʃənəli,adv
příležitost,occasion,ə'keɪʒn,n
"půjčit si, vypůjčit si",borrow,'bɒroʊ,v
"pyšný (~ na, ~, že)","proud (~ of, ~ that)",praʊd,adj
rychlost,speed,spi:d,n
"řídit, jet (v autě)",drive,draɪv,v
"sedět, sednout si",sit,sɪt,v
sendvič,sandwich,'sænwɪdʒ,n
"sentimentální, dojemný",sentimental,",sentɪ'mentl",adj
"skočit, skákat",jump,dʒʌmp,v
"stanice, zastávka, nádraží",station,'steɪʃn,n
"starat se o, pečovat o (fráz.sloveso)",look after sb/st,lʊk 'ɑ:ftə(r),v
"středisko, resort (lyžařské středisko)",resort (ski resort),rɪ'zɔ:t,n
světlo,light,laɪt,n
sýr,cheese,ʧi:z,n
talentovaný,talented,'tæləntɪd,adj
"taška, sáček, batoh",bag,bæg,n
televize,television,'telɪvɪʒn,n
"textová zpráva, SMS",text message,tekst 'mesɪdʒ,n
"těžký, obtížný, nesnadný",hard,hɑ:d,adj
tvrdě pracující,hard-working,",hɑ:d'wɜ:kɪŋ",adj
umění,art,ɑ:t,n
"určitě, rozhodně, jistě",certainly,'sɜ:tnlɪ,adv
"úspěch, zdar",success,sək'ses,n
uspět,succeed,sək'si:d,v
"vášnivý, nadšený",passionate,'pəʃənət,adj
vidět,see,si:,v
"voda, vodní plocha",water,'wɔ:tə(r),n
zajímat se o něco,interested (be interested in st),'intrestɪd,adj
zastavit,stop,stɒp,v
"zázračné dítě, (mladý) génius",prodigy,'prɒdədʒɪ,n
zmrzlina,ice cream,'aɪs kri:m,n
zpáteční lístek,return ticket,rɪ'tɜ:n 'tɪkɪt,n
"žena v domácnosti, hospodyně",housewife (mn.č. housewives),'haʊswaɪf  / 'haʊswaɪvz,n
"cena, odměna, ocenění",award,ə'wɔ:d,n
"dárek, dar",present,'preznt,n
"dát, dávat,",give,gɪv,v
datum,date,deɪt,n
dcera,daughter,'dɔ:tə(r),n
"dělat, tvořit, udělat",make,meɪk,v
"déle, delší",longer,'lɒngə(r),adj
Den sv. Valentýna,Valentine's Day,'væləntaɪnz deɪ,n
dětství,childhood,'ʧaɪldhʊd,n
dolar,dollar,'dɒlə(r),n
"dost, dostatek",enough,ɪ'nʌf,adv
"dostat, přijmout, obdržet",receive,rɪ'si:v,v
"dotazovat se, dělat rozhovor",interview,'ɪntəvju:,v
"drama, divadelní hra",drama,'drɑ:mə,n
dyslektický,dyslexic,dɪs'leksɪk,adj
emaily,emails,'i:meɪlz,n pl
"exportovat, vyvážet",export,'ekspɔ:t,v
film,film,fɪlm,n
fotbalový tým,football team,'fʊtbɔ:l ti:m,n
"charita, dobročinnost, štědrost",charity,'ʧærətɪ,n
"chování (lidí, zvířat)",behaviour,bɪ'heɪvjə(r),n
"chytit, chytat",catch,kæʧ,v
"chytrý, bystrý",clever,'klevə(r),adj
"konstruktér/ka, návrhář/ka",designer,dɪ'zaɪnə(r),n
"legrační, komický, zábavný",funny,'fani,adj
"loďka, člun, malá loď",boat,boʊt,n
"loni, minulý rok",last year,lɑ:st jɜ:(r),
"loterie, sázková hra",lottery,'lɒtərɪ,n
"má to význam, záleží na tom",matter,'mætə(r),v
maratón,marathon,'mærəθən,n
měsíc (kalendářní),month,mʌnθ,n
miliardář,billionaire,",bɪljə'neə(r)",n
milionář,millionaire,",mɪljə'neə(r)",n
"minuta, chvilka",minute,'mɪnɪt,n
"místní, zdejší (tisk, zastupitelstvo ap.)",local,'ləʊkl,adj
"mnoho, hodně",much,maʧ,det
"mnoho, spousta, hodně (čeho)",lots (of sth),lɒts,adv
módní přehlídka,fashion show,'fæʃn ʃəʊ,n
nadšený,excited,ɪk'saɪtɪd,adj
národnost,nationality,",næʃə'nælətɪ",n
narozen,born,bɔ:n,adj
"naštvaný, rozlobený",annoyed,ə'nɔɪd,adj
nejbohatší,the richest,ðə 'rɪʧɪst,adj
nejlepší přítel,best friend,best frend,n
nic,nothing,'nʌθɪŋ,pron
obchodník,businessman,'bɪznɪsmən,n
"odejít, odjet, odletět, nechat, opustit",leave,li:v,v
"odpočinek, siesta",siesta,si'estə,n
"opět, zase, znovu",again,ə'geɪn,adv
opožděný,late,leit,adj
"pán, muž, džentlmen",gentleman,'dʒentlmən,n
plný (~ něčeho),full (~ of st),fʊl,adj
"podnikatel, provozovatel",entrepreneur,",ɒntrəprə'nɜ:(r)",n
"pomoci, pomáhat",help,help,v
pozdě,late,leɪt,adv
praprarodiče,great-grandparents,greɪt 'grænpeərənts,n
problémy,problems,'prɒbləmz,n pl
první,first,'fɜ:st,num
"před, před tím než, dříve než (časově)",before,bɪ'fɔ:r,conj
přednáška (univerzitní),lecture,'lekʧə(r),n
"přijet, přijít, dorazit",arrive,ə'raɪv,v
"přítel, kamarád",friend,frend,n
"rada, doporučení",advice,əd'vaɪs,n
rozhlasová stanice,radio station,'reɪdiəʊ 'steɪʃn,n
ryba (ryby),fish,fɪʃ,n
rybář,fisherman,'fɪʃəmən,n
slovo,word,wɜ:d,n
smát se (komu/čemu),laugh (at sb/sth),lɑ:f,v
snídaně,breakfast,'brekfəst,n
"software, programové vybavení",software,'sɒftweə(r),n
společnost,company,'kʌmpəni,n
"stěhovat se, přestěhovat se",move,mu:v,v
stipendium,scholarship,'skɒləʃɪp,n
století,century,'senʧəri,n
"talk show, diskuzní pořad",talk show,'tɔ:k ʃəʊ,n
tatínek,dad (informal),dæd,n
televizní hvězda,TV star,",ti:'vi: stɑ:(r)",n
"topinka, toust",toast,təʊst,n
uhelný důl,coal mine,'kəʊl maɪn,n
uklízet,clean,kli:n,v
umělecky založený,artistic,ɑ:'tɪstɪk,adj
úspěšný,successful,sək'sesfl,adj
už ne (v záporných větách a otázkách),any more,eni 'mɔ:,adv
Vánoce,Christmas,'krɪsməs,n
včera,yesterday,'jestədeɪ,adv
včera večer,last night,lɑ:st naɪt,
vést firmu,run a company,rʌn ə kʌmpəni,
všechno,everything,'evriθɪŋ,pron
"všude, kdekoli",everywhere,'evrɪweə(r),adv
vydělat,make,meɪk,v
"vyhrát, zvítězit",win,wɪn,v
"začít, začínat",begin,bɪ'gɪn,v
"začít, zahájit",start,stɑ:t,v
"zápas, utkání",match (in sport),mæʧ,n
zemřít,die,daɪ,v
"zeptat se, ptát se",ask,ɑ:sk,v
zítra,tomorrow,tə'mɒrəʊ,adv
"zkouška, test ve škole (hovorově)",exam,ɪg'zæm,n
"znepokojený, ustaraný (~ něčím)",worried,'wʌrid,adj
"znuděný, otrávený (~ něčím)",bored,bɔ:d,adj
"zprávy (v novinách, televizi ap.)",news,nju:z,n
"ztratit, prohrát",lose,lu:z,v
zůstat v kontaktu,stay in touch,stei ɪn tʌʧ,
